model_id,category,category_clean,name,room_type,usable_room_types,style,anchor_type,placement_zone,layout_scale
1a3a4611409e306c1a832e2972cd1e0d,"faucet,spigot",faucet,Kohler Forte' Pedestal Lav Faucet,Kitchen Room,Bathroom|Kitchen Room,Modern,fixture,sink_zone,0.5
1a5586fc147de3214b35a7d7cea7130,"water faucet,water tap,tap,hydrant",water faucet,SlimD2 - Armando Vicario Kitchen Room Mixer - Kitchen Room Tapware - Abey,Kitchen Room,Bathroom|Kitchen Room,Modern,fixture,sink_zone,0.5
1ae1609816687a883792c04fd8184496,"faucet,spigot",faucet,Solna Chrome Single Handle Pull-Down Kitchen Room Faucet | 63020LF-PC,Kitchen Room,Bathroom|Kitchen Room,Industrial,fixture,sink_zone,0.5
1bc3c767ecc9323c3321831d2245cf06,"faucet,spigot",faucet,K-168 Antiqueâ„¢ single-control Kitchen Room sink faucet with lever handle,Kitchen Room,Bathroom|Kitchen Room,Vintage/Retro,fixture,sink_zone,0.5
1bec5441a4a0fc3d6af014d294c0e7c5,"water faucet,water tap,tap,hydrant",water faucet,Bathroom tap,Kitchen Room,Bathroom|Kitchen Room,Modern,fixture,sink_zone,0.5
1c0b65c18b56fc71a6c6cdd30dc62f82,"faucet,spigot",faucet,Santec Bravo Faucet,Kitchen Room,Bathroom|Kitchen Room,Modern,fixture,sink_zone,0.5
1c5b1091af3106fa2c3adce840300a4c,"water faucet,water tap,tap,hydrant",water faucet,Mixer taps,Kitchen Room,Bathroom|Kitchen Room,Modern,fixture,sink_zone,0.5
1c684a5a113c4536b7a867e9b35a1295,"faucet,spigot",faucet,JUSTIME 6765-90-80CP FAUCET æ°´é¾é ­,Kitchen Room,Bathroom|Kitchen Room,Modern,fixture,sink_zone,0.5
1cc79cefa63fa41d2d3adeba9d9c3aae,"water faucet,water tap,tap,hydrant",water faucet,Sink tap Blanco Linus S,Kitchen Room,Bathroom|Kitchen Room,Modern,fixture,sink_zone,0.5
1d584bae2bb2ff963ca0c4be71e7b721,"faucet,spigot",faucet,Commercial Sink Faucet,Kitchen Room,Bathroom|Kitchen Room,Industrial,fixture,sink_zone,0.5
1d5be60c3915be4b362845c6edb57fc,"faucet,spigot",faucet,Verona External Bath-Shower Mixer with Floor Pillar Leg and Shower Rose,Kitchen Room,Bathroom|Kitchen Room,Modern,fixture,sink_zone,0.5
1db4071178f5818250da8b99982a3057,"faucet,spigot",faucet,JUSTIME Basin Faucet (Antimicrobial Copper Handle)_7780-91-80CU,Kitchen Room,Bathroom|Kitchen Room,Modern,fixture,sink_zone,0.5
1de8f72e190d7ef1979c556124bee033,"faucet,spigot",faucet,Vuelo Chrome Single Handle Hi-Arch Pull Out Kitchen Room Faucet with SmartTouch Technology | 64255LF-PC,Kitchen Room,Bathroom|Kitchen Room,Industrial,fixture,sink_zone,0.5
1e038dfd194d74863321831d2245cf06,"faucet,spigot",faucet,K-6215-4 TorqÂ® deck-mount bridge Kitchen Room faucet,Kitchen Room,Bathroom|Kitchen Room,Modern,fixture,sink_zone,0.5
1e2e11043b3d67d76621db2c3226f08,"faucet,spigot",faucet,HansGrohe Talis S med utdragbar handdush,Kitchen Room,Bathroom|Kitchen Room,Modern,fixture,sink_zone,0.5
1e5712458907fe06b362845c6edb57fc,"faucet,spigot",faucet,Loft Elite Monoblock Basin Mixer with Central Swivel,Kitchen Room,Bathroom|Kitchen Room,Modern,fixture,sink_zone,0.5
1eb80664e450516e2c6c98851414a9d8,"faucet,spigot",faucet,Commercial Kitchen Room Faucet and Sprayer,Kitchen Room,Bathroom|Kitchen Room,Industrial,fixture,sink_zone,0.5
1f00e3c311882a8866279f6cdc4d0486,"mixing faucet,water faucet,water tap,tap,hydrant,faucet,spigot",mixing faucet,Sloan Valve Optima Plus EBF-550 Battery Powered Hand Washing Faucet,Kitchen Room,Bathroom|Kitchen Room,Modern,fixture,sink_zone,0.5
1f223cac61e3679ef235ab3c41aeb5b6,"faucet,spigot",faucet,MISTURADOR LAVATÃ“RIO DE MESA - BRIZO - DOCOL,Kitchen Room,Bathroom|Kitchen Room,Modern,fixture,sink_zone,0.5
1f43546db1dc2912f38c4a12750d961b,"faucet,spigot",faucet,Siderna Chrome 4 Hole Roman Tub with Hand Shower by Brizo | T67480-PCLHP-HL680-PC,Kitchen Room,Bathroom|Kitchen Room,Industrial,fixture,sink_zone,0.5
1f713f9a9ba4eca2b362845c6edb57fc,"faucet,spigot",faucet,Vectra Wall-mounted Shower Mixer,Kitchen Room,Bathroom|Kitchen Room,Modern,fixture,sink_zone,0.5
1f833904413559adc837473125b7231e,"water faucet,water tap,tap,hydrant",water faucet,Foster_Elettra 8476 000,Kitchen Room,Bathroom|Kitchen Room,Modern,fixture,sink_zone,0.5
1fa06b97a0498b3ebb201909fefe7321,"water faucet,water tap,tap,hydrant,faucet,spigot",water faucet,Faucet,Kitchen Room,Bathroom|Kitchen Room,Modern,fixture,sink_zone,0.5
1fa1f1515365ecb0b362845c6edb57fc,"faucet,spigot",faucet,Logica Wall-mounted Shower Mixer,Kitchen Room,Bathroom|Kitchen Room,Modern,fixture,sink_zone,0.5
1fbbe439f321bc2fb362845c6edb57fc,"faucet,spigot",faucet,Targa  High Neck Monoblock Basin Mixer with Pop-up Waste,Kitchen Room,Bathroom|Kitchen Room,Modern,fixture,sink_zone,0.5
2a7ffc2172f9a2ddb362845c6edb57fc,"faucet,spigot",faucet,Thesis Monoblock Mixer for Bidet with Pop-up Waste,Kitchen Room,Bathroom|Kitchen Room,Modern,fixture,sink_zone,0.5
2ae78fcdf7e0bbe0c36fb70296e45483,"faucet,spigot",faucet,RSVP Chrome Deck-Mount Vessel Lavatory by Brizo | 65790LF-PCLHP,Kitchen Room,Bathroom|Kitchen Room,Industrial,fixture,sink_zone,0.5
2b06f6839c637fb54d7082b34825ef0,"water faucet,water tap,tap,hydrant,faucet,spigot",water faucet,K-8961-7 Toobiâ„¢ single-handle bidet faucet,Kitchen Room,Bathroom|Kitchen Room,Modern,fixture,sink_zone,0.5
2b4f980f62ac992a3b717863742b7581,"water faucet,water tap,tap,hydrant",water faucet,Tapping Tee - Curved Base - Electrofusion PE,Kitchen Room,Bathroom|Kitchen Room,Modern,fixture,sink_zone,0.5
